City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Bandarbeyla,SO,9.49,50.81,78.55,75,70,24.96,broken clouds
161,Guimar,ES,28.3,-16.43,64.99,55,0,2.93,clear sky
162,Thanatpin,MM,17.21,96.3,87.8,62,20,5.82,few clouds
163,Hobart,AU,-42.88,147.33,57.2,58,75,6.93,broken clouds
164,Lohja,FI,60.25,24.07,32.0,85,100,15.01,overcast clouds
165,Srednekolymsk,RU,67.45,153.68,-31.52,78,0,3.83,clear sky
166,Upernavik,GL,72.79,-56.15,28.83,85,100,3.18,overcast clouds
167,Vieques,PR,18.43,-65.83,73.4,88,20,3.36,few clouds
168,Emerald,AU,-23.53,148.17,84.2,54,100,6.93,light rain
169,Zhob,PK,31.34,69.45,45.21,42,0,2.06,clear sky
170,Vallejo,US,38.1,-122.26,50.0,75,90,4.7,overcast clouds
171,Bethel,US,41.37,-73.41,33.01,94,75,5.82,broken clouds
172,Lavrentiya,RU,65.58,-171.0,20.25,96,100,22.53,light snow
173,Alice,US,27.75,-98.07,75.2,93,75,3.36,mist
174,Dingle,PH,11.0,122.67,77.49,88,100,1.32,moderate rain
175,Micomeseng,GQ,2.15,10.62,84.33,64,79,2.84,light rain
176,Englewood,US,39.65,-104.99,30.0,74,75,6.93,broken clouds
177,Harrai,IN,22.62,79.22,74.97,37,0,11.18,clear sky
178,Molchanovo,RU,57.58,83.77,-20.67,85,100,8.32,overcast clouds
179,Fairbanks,US,64.84,-147.72,10.4,77,75,5.82,broken clouds
180,Los Llanos De Aridane,ES,28.66,-17.92,69.8,77,20,2.24,few clouds
181,Faya,SA,18.39,42.45,73.4,19,0,5.82,clear sky
182,Boende,CD,-0.22,20.87,91.36,46,87,3.18,overcast clouds
183,Lulea,SE,65.58,22.15,33.8,80,90,17.22,overcast clouds
184,Lagunillas,VE,10.13,-71.26,75.43,83,20,6.8,few clouds
185,Cochrane,CA,51.18,-114.47,24.8,92,90,2.24,overcast clouds
186,Mogok,MM,22.92,96.5,55.76,79,0,0.18,clear sky
187,Saldanha,ZA,-33.01,17.94,75.2,63,0,17.22,clear sky
188,Lasa,IT,46.62,10.7,27.0,100,90,6.93,light snow
189,Moratuwa,LK,6.77,79.88,84.2,74,40,12.75,light rain
190,Vitim,RU,59.45,112.56,-25.67,82,100,10.89,light snow
191,Urucui,BR,-7.23,-44.56,78.89,63,20,13.53,few clouds
